comment,topic,cluster,pred_topic
fda approves pharma preterm birth drug embattled drugmaker pharmaceutical reported health reg,58,24,FDA drug approvals
acai berry weight loss confusing helen arsenault january talk mogul op,55,9,Weight-loss diets and acai berry
update fly fishing tip beginner ultimate guide learn fly fish pro,60,81,Fishing events and gear
ufo paranormal terrorist bombing moscow airport,36,17,Moscow airport bombing
hawaii won release obama birth info,41,26,Healthcare reform legal battles
horse racing oc tavern bar state offer track horse betting,94,73,Horse racing and betting tips
starbucks size trente hold entire bottle wine enjoy,62,19,Starbucks Trenta cup controversy
super bowl recipe todd dirt dirt man shared recipe patch ve ta,87,59,Super Bowl commercials
spicy food popular child quick thai style chicken soup will hit,87,16,Chicken recipes and food ideas
crystal clear kim kardashian single fucking idiot,72,88,Kim Kardashian’s social presence
drug rehab work charlie sheen reportedly receiving help clearest benefit pat,68,12,Charlie Sheen controversies
social network king speech aim oscar ap ap academy award voter poised set,88,39,Awards season: Oscars and SAG
real acai berry supplement deal rapid fast weight loss well ordered acai berry blast,55,9,Weight-loss diets and acai berry
watching extreme makeover don text drive,104,61,Extreme Makeover show
gotta luv video jesse ventura strike lawsuit tsa,25,56,Jesse Ventura vs TSA lawsuit
acai berry social bookmarking net acai berry latest weight loss buy acai berry best colon cleanse,55,9,Weight-loss diets and acai berry
worst best super bowl commercial video,99,52,Super Bowl ad reviews
st andrew st michael school hold second annual bullying awareness conference,90,49,Lady Michelle Obama fitness campaign
supreme court temporarily halt georgia execution,89,69,Iran’s political and legal actions
acai berry powder ehow acai berry powder acai berry extraordinarily,55,27,Weight loss and acai berry products
chicken vegetable herb brown rice,87,83,Chicken recipes and food ideas
egypt military secures famed antiquity museum,10,7,Egyptian protests and museum protection
completely freaky sense sony xperia play commercial kind awesome creepy thumb superbowl,99,84,Super Bowl commercials
love coke commercial dragon superbowl,99,15,Super Bowl commercials
al jazeera thousand egyptian youth form human shield protect egyptian museum museum egypt jan,10,7,Egyptian protests and museum protection
tceltics davis leaf game sun sore hamstring boston celtic nbanewsfeed,67,82,Concussions and sports injuries
street yemen day rage sanaa reuters yemeni,79,21,Middle East protests
rahm emanuel ballot chicago alternet,21,46,Rahm Emanuel ballot case
judge rule health care law foxnews,22,35,Healthcare reform legal battles
fishing striped bass ll fight hard fish pull force lake norman st,60,81,Fishing
charlie rating soar big bonus short rehab,68,12,Charlie Sheen controversies
cash college workshop tomorrow find location,97,75,College scholarships and financial aid
audi super bowl commercial online video audi,99,31,Super Bowl commercials
fishing report jan illinois winter steelhead fishing good driftboaters cop,60,28,Fishing events and gear
patrick asks obama intervene fishing regulation dispute,60,26,Fishing
expert differ sanction debate,110,56,Myanmar sanctions and political transitions
chipotle face ice inspection state reuters,80,87,Fast food and immigration policies
skinny burn fat,55,79,Weight-loss advice and fat-burning foods
walmart embrace lady nutrition campaign,65,47,Lady Michelle Obama fitness campaign
fishing rapala original floater fishing lure original floating rapala fished fishingkahuna,60,81,Fishing events and gear
super bowl prediction volkswagen commercial force beat audi goodnight commercial seo,99,37,Super Bowl commercials
autism awareness month education key bully,90,49,Social media for politics
rioter destroy mummy egyptian museum cairo filed art culture history learning afric,10,7,Egyptian protests and museum protection
bottega veneta rtw spring beautiful fashion art gt,46,47,Celebrity gossip and pop culture
mainenance fishing rod preserving rod read,60,28,Fishing
lt gt acai berry lt gt weight loss side effect improvement,55,27,Weight-loss diets and acai berry
blizzard break chicago snow record inch expected,57,43,Chicago blizzard: Historic snowstorm
suicide bomber blamed moscow airport attack killed russian state tv report,36,17,Moscow airport bombing
save text save life don text driving text life imagine dream inspire,104,61,Safe driving pledges
ford paid shit load commercial air time superbowl,99,52,Super Bowl commercials
smart money future mixed ahead data earnings market update stock future mi investing money,92,1,Stock market and investing
starbucks terrifying trenta cup hold entire bottle wine,62,19,Starbucks Trenta cup controversy
msn today joanna yeates suspect court,86,76,Joanna Yeates murder case
illinois state appeal court declared rahm emanuel ineligible mayor chicago born kenya,21,46,Rahm Emanuel ballot case
exactly acai berry diet pill wrk yahoo answer acai berry diet pill,55,9,Weight-loss diets and acai berry
buck belief nba concussion protocol three year ago ucla luc richard mbah moute sust,84,82,Concussions and sports injuries
tip help reduce energy bill control electricity save money power bill,27,32,Energy saving tips
breaking news fluid buildup rep giffords brain will delay start full fledged rehabilitation hou,37,42,Charlie Sheen controversies
toledo bend report chicken coop providing hot crappie action love bass fishing bu,60,81,Fishing
rid bedbug,52,56,Bed bugs issue
favorite superbowl motorola xoom tablet swipe apple tonight,99,1,Motorola Xoom Super Bowl ad
awesome bold superbowl commercial seriously going consider xoom tablet ipad,99,1,Super Bowl ad reviews
identity theft cost infographic,108,10,Identity theft concerns
tip fly fishing brook trout stream manual angler ten tip fly,60,66,Southwest fly fishing and trout discussions
sixth annual avnet tech game offer scholarship networking opportunity winning student will,97,75,College scholarships and financial aid
dorritos pepsi commercial tyrant superbowl commercial,99,44,Pepsi Max and Doritos ads
rite movie review fan movie deal battle good,14,36,Movies on exorcism
gang hunt journalist right worker egypt nytimes jatkhs,66,25,Egypt-related political news
kardashians episode good,72,88,Kardashians
social medium blast christina aguilera national anthem super bowl flub day social medium,75,67,Christina Aguilera’s national anthem mishap
sinfully spicy easy easy eat reshmi chicken kebab roll indianfood recipe indianfastfood,87,83,Chicken recipes for dinner
identity theft cost infographic online fraud crime rise mo,108,10,Identity theft concerns
commercial motorola xoom suck people apple tool sb superbowl,99,15,Motorola Xoom Super Bowl ad
white stripe breaking performance record winnipeg free press,17,64,White Stripe breakup announcement
mercedes benz class coupe sl amg roadster revealed superbowl commercial tmr,99,48,Mercedes Benz and Kia Superbowl commercials
murray congratulation djokovic winning men australianopen championship nice work going bed,71,60,Australian Open tennis championship
portman firth speech win sag award los angeles jan upi star king speech ho,88,45,Awards season: Oscars and SAG
police open fire yemen protester sanaa yemen ap witness police opened fire break,79,21,Yemen protests intensify
variety freshwater aquarium fish,60,74,Aquariums trivia and maintenance tips
save poptarts tmr chicago foot snow hour forecaster,57,43,Chicago blizzard: Historic snowstorm
rnc best shot knocking debt time race leading pack,100,47,RNC and Ronald Reagan celebrations
pound test bass fishing rod yahoo answer,60,81,Fishing
watched solid acting anthony hopkins sr beauty alice braga rite view,14,54,Movies on exorcism
acai berry weight loss diet plan healthy weight reduction number diet plan,55,71,Weight-loss diets and acai berry
master phd scholarship university manitoba canada beasiswa scholarship,97,78,Scholarships and international awards
best worm bait fishing thom conroy helium,60,81,Fishing bait secrets and auction sites
acai berry work lose weight lose weight heard acai berry pe,55,27,Weight-loss diets and acai berry
journalist targeted pro mubarak force egypt video,66,25,Egyptian protests and museum protection
bbc news king speech lead oscar field,88,39,Awards season: Oscars and SAG
student juvenile arthritis apply college scholarship staff report arthritis foundation,97,75,College scholarships and financial aid
love ncis arc outcome funeral,77,76,Crime-solving TV shows
